[-0.08263136  0.57738668  0.5       ],[0.09302798 0.78386176 0.5       ],[0.68386495 0.0565207  0.5       ],[ 0.29431415 -0.04151077  0.5       ],0.820290089
[-0.08295937  0.57740521  0.5       ],[0.09422523 0.78108835 0.5       ],[0.6805048  0.05833657 0.5       ],[ 0.29290485 -0.04118202  0.5       ],0.830245972
[-0.08326429  0.57756782  0.5       ],[0.09668715 0.77637732 0.5       ],[0.67330223 0.06218792 0.5       ],[ 0.28758237 -0.04157956  0.5       ],0.841238976
[-0.08335757  0.57744658  0.5       ],[0.09807952 0.77400076 0.5       ],[0.66899765 0.0636613  0.5       ],[ 0.2855204  -0.04268507  0.5       ],0.851964951
[-0.08335757  0.57744658  0.5       ],[0.09807952 0.77400076 0.5       ],[0.66899765 0.0636613  0.5       ],[ 0.2855204  -0.04268507  0.5       ],0.862077951
[-0.08335757  0.57744658  0.5       ],[0.09807952 0.77400076 0.5       ],[0.66899765 0.0636613  0.5       ],[ 0.2855204  -0.04268507  0.5       ],0.872126102
[-0.08384427  0.57756525  0.5       ],[0.10276189 0.76505989 0.5       ],[0.65587676 0.07056099 0.5       ],[ 0.27848855 -0.04220168  0.5       ],0.883204937
[-0.08412176  0.5775736   0.5       ],[0.10407165 0.76281267 0.5       ],[0.65241587 0.07208481 0.5       ],[ 0.27623644 -0.04162245  0.5       ],0.893324137
[-0.08427089  0.57754868  0.5       ],[0.10512478 0.76070273 0.5       ],[0.64947784 0.07379904 0.5       ],[ 0.27422592 -0.04213941  0.5       ],0.903474093
[-0.08425808  0.57743889  0.5       ],[0.10742197 0.75686514 0.5       ],[0.6430164  0.07655057 0.5       ],[ 0.27344513 -0.04154646  0.5       ],0.914762974
[-0.08425808  0.57743889  0.5       ],[0.10742197 0.75686514 0.5       ],[0.6430164  0.07655057 0.5       ],[ 0.27175733 -0.04131119  0.5       ],0.924659014
[-0.08434007  0.57730955  0.5       ],[0.10922534 0.75299507 0.5       ],[0.63758308 0.07951517 0.5       ],[ 0.26814753 -0.0415137   0.5       ],0.93534112
[-0.08429406  0.57696337  0.5       ],[0.10990439 0.75103533 0.5       ],[0.63469815 0.08073725 0.5       ],[ 0.2666924  -0.04090189  0.5       ],0.947427034
[-0.08437221  0.57704598  0.5       ],[0.11100183 0.74925405 0.5       ],[0.63190156 0.0820832  0.5       ],[ 0.26450449 -0.04122021  0.5       ],0.956170082
[-0.08437221  0.57704598  0.5       ],[0.11100183 0.74925405 0.5       ],[0.63190156 0.0820832  0.5       ],[ 0.26450449 -0.04122021  0.5       ],0.967195988
[-0.08415226  0.57644773  0.5       ],[0.11337099 0.74426538 0.5       ],[0.62416226 0.08527038 0.5       ],[ 0.26037365 -0.0413109   0.5       ],0.978625059
[-0.08406939  0.57606953  0.5       ],[0.11424351 0.74252695 0.5       ],[0.62166804 0.08610358 0.5       ],[ 0.2589868  -0.04121252  0.5       ],0.987982988
[-0.08397494  0.57562655  0.5       ],[0.11632208 0.73963219 0.5       ],[0.61717606 0.08788306 0.5       ],[ 0.25760522 -0.04108369  0.5       ],0.998841047
[-0.08392953  0.57546693  0.5       ],[0.11674205 0.73814279 0.5       ],[0.6150437  0.08893518 0.5       ],[ 0.25501561 -0.0413518   0.5       ],1.010759115
[-0.08374706  0.57523596  0.5       ],[0.11739607 0.73650867 0.5       ],[0.61281604 0.08939392 0.5       ],[ 0.2531853  -0.04097324  0.5       ],1.020334005
